
"Order No.,Time,Symbol,Side,Price,Quantity,Fee,Role,Realized Profit"
"11573958942,2026-01-11 05:46:03,BTCUSDT Perp,Buy,""90,666.40"",""453.4 USDT"",""0.09066640 USDT"",Maker,0.00000000 USDT"
"11573958942,2026-01-11 05:46:03,BTCUSDT Perp,Buy,""90,666.40"",""362.7 USDT"",""0.07253312 USDT"",Maker,0.00000000 USDT"
"11573958942,2026-01-11 05:46:03,BTCUSDT Perp,Buy,""90,666.40"",""906.7 USDT"",""0.18133280 USDT"",Maker,0.00000000 USDT"
"11573958942,2026-01-11 05:46:03,BTCUSDT Perp,Buy,""90,666.40"",""906.7 USDT"",""0.18133280 USDT"",Maker,0.00000000 USDT"
"11573958893,2026-01-11 05:46:02,BTCUSDT Perp,Buy,""90,666.40"",""181.4 USDT"",""0.03626656 USDT"",Maker,0.00000000 USDT"
"11573958893,2026-01-11 05:46:02,BTCUSDT Perp,Buy,""90,666.40"",""906.7 USDT"",""0.18133280 USDT"",Maker,0.00000000 USDT"
"11573958893,2026-01-11 05:46:02,BTCUSDT Perp,Buy,""90,666.40"",""181.4 USDT"",""0.03626656 USDT"",Maker,0.00000000 USDT"
"11573958736,2026-01-11 05:46:01,BTCUSDT Perp,Buy,""90,631.40"",""543.8 USDT"",""0.10875768 USDT"",Maker,0.00000000 USDT"
"11573958736,2026-01-11 05:46:00,BTCUSDT Perp,Buy,""90,631.40"",""362.6 USDT"",""0.07250512 USDT"",Maker,0.00000000 USDT"
"11573871228,2026-01-11 05:41:06,BTCUSDT Perp,Buy,""90,688.00"",""12,696.4 USDT"",""5.07852800 USDT"",Taker,-20.76188235 USDT"
"11573871228,2026-01-11 05:41:06,BTCUSDT Perp,Buy,""90,687.90"",""725.6 USDT"",""0.29020128 USDT"",Taker,-1.18559327 USDT"
"11573871228,2026-01-11 05:41:06,BTCUSDT Perp,Buy,""90,687.90"",""181.4 USDT"",""0.07255032 USDT"",Taker,-0.29639831 USDT"
"11573871228,2026-01-11 05:41:06,BTCUSDT Perp,Buy,""90,684.20"",""453.5 USDT"",""0.18136840 USDT"",Taker,-0.72249579 USDT"
"11573871228,2026-01-11 05:41:06,BTCUSDT Perp,Buy,""90,655.30"",""906.6 USDT"",""0.36262120 USDT"",Taker,-1.15599159 USDT"
"11573871228,2026-01-11 05:41:06,BTCUSDT Perp,Buy,""90,631.50"",""453.2 USDT"",""0.18126300 USDT"",Taker,-0.45899579 USDT"
"11573870700,2026-01-11 05:41:06,BTCUSDT Perp,Buy,""90,631.40"",""453.2 USDT"",""0.09063140 USDT"",Maker,-0.45849579 USDT"
"11573870154,2026-01-11 05:41:03,BTCUSDT Perp,Buy,""90,631.40"",""271.9 USDT"",""0.05437884 USDT"",Maker,-0.27509747 USDT"
"11573870154,2026-01-11 05:41:03,BTCUSDT Perp,Buy,""90,631.40"",""634.5 USDT"",""0.12688395 USDT"",Maker,-0.64189411 USDT"
"11573869966,2026-01-11 05:41:01,BTCUSDT Perp,Buy,""90,631.40"",""815.7 USDT"",""0.16313652 USDT"",Maker,-0.82529243 USDT"
